"study_id","taxa","min_year","max_year","coverage"
361,"Birds",1962,1983,0.901408450704225
362,"Mammals",2009,2012,0.672188317349608
363,"Birds",1963,1999,0.998425196850394
364,"Freshwater plants",1990,2007,0
365,"Fish",1997,2002,0
366,"Mammals",1989,2013,0.976099144290351
367,"Marine invertebrates",2008,2013,0
368,"Freshwater invertebrates",2010,2011,0
369,"Terrestrial invertebrates",2009,2014,0
370,"Marine plants",2008,2014,0
371,"Marine plants",2008,2014,0
372,"Birds",2005,2013,0.920460408811272
373,"Mammals",2005,2012,0.855640578153667
374,"Birds",2004,2014,0.999224285049387
375,"Terrestrial invertebrates",2004,2014,0
376,"Birds",2004,2008,0.932996687842754
377,"Birds",2008,2013,0.928117771842613
378,"Marine invertebrates",1991,2006,0
379,"Marine invertebrates",1991,2014,0
380,"Terrestrial invertebrates",1978,1987,0
381,"All",1986,1992,0.11875
382,"Mammals",1955,1967,0.939252336448598
383,"Terrestrial plants",1972,2010,0
384,"Terrestrial plants",1973,2006,0
385,"Terrestrial plants",1972,2011,0
386,"Terrestrial plants",1994,2009,0
387,"Terrestrial plants",1958,2009,0
388,"Terrestrial plants",1957,2014,0
389,"Terrestrial plants",1973,2006,0
390,"Terrestrial plants",1972,2009,0
391,"Terrestrial plants",1974,2007,0
392,"Terrestrial plants",1974,2013,0
393,"Terrestrial plants",1976,2013,0
394,"Terrestrial plants",1974,2011,0
395,"Terrestrial plants",1975,2008,0
396,"Terrestrial plants",2006,2016,0
397,"Terrestrial plants",2002,2010,0
398,"Terrestrial plants",1973,1995,0
399,"Terrestrial plants",1973,2000,0
400,"Terrestrial plants",1978,1999,0
401,"Terrestrial plants",1978,1998,0
402,"Fish",2010,2015,0
403,"Amphibians",1989,1995,0.916666666666667
404,"Terrestrial plants",2014,2016,0
405,"Terrestrial plants",2009,2011,0
406,"Terrestrial plants",2005,2007,0
407,"Fish",2012,2013,0
408,"Marine invertebrates",2012,2013,0
409,"Fish",2012,2013,0
412,"Fish",1995,2000,0
413,"Birds",1927,1976,0.748327759197324
414,"Birds",1924,1976,0.754932502596054
415,"Birds",1949,1967,0.812903225806452
416,"Birds",1946,1971,0.823759791122715
418,"Fish",1992,2015,0
419,"Birds",1993,2011,0.592191601049869
420,"Birds",1964,2001,0.932673267326733
421,"Terrestrial invertebrates",1999,2000,0
422,"Terrestrial invertebrates",2009,2014,0
423,"Terrestrial invertebrates",2009,2014,0
424,"Terrestrial invertebrates",2010,2014,0
425,"Benthos",2009,2010,0
426,"Freshwater invertebrates",1976,2010,0
427,"Freshwater invertebrates",1977,2008,0
428,"Fish",1919,2015,0.00746880588020272
429,"Marine invertebrates",2013,2016,0
430,"Fish",1985,2016,0
431,"Fish",1984,2016,0
432,"Fish",1998,2016,0
433,"Freshwater invertebrates",1983,2002,0
434,"Freshwater invertebrates",1992,2001,0
435,"Marine invertebrates",2009,2016,0
436,"Fish",2005,2012,0
437,"Fish",2010,2016,0
438,"Fish",2006,2014,0
439,"Birds",1985,1997,0.996428571428571
440,"Birds",1985,1997,0.991886409736308
441,"Birds",1985,1997,0.986979166666667
442,"Birds",1980,1985,0.862068965517241
443,"Birds",1980,1983,0.873563218390805
444,"Birds",1983,1987,0.983050847457627
445,"Birds",1976,1978,1
446,"Mammals",2007,2011,0.888888888888889
447,"Mammals",2006,2014,1
448,"Mammals",1979,1982,0.898305084745763
449,"Mammals",2000,2009,1
450,"Fish",2005,2012,0
451,"Fish",2005,2012,0
452,"Fish",2004,2012,0
453,"Freshwater invertebrates",1969,2010,0
454,"Freshwater invertebrates",2014,2016,0
455,"Marine invertebrates",2003,2005,0
456,"Marine invertebrates",2003,2010,0
457,"Marine invertebrates",2003,2014,0
458,"Terrestrial invertebrates",2008,2011,0
459,"Birds",2010,2014,1
460,"Terrestrial plants",2007,2011,0
461,"Terrestrial plants",2007,2011,0
462,"Terrestrial plants",2007,2011,0
463,"Terrestrial plants",2007,2011,0
464,"Terrestrial plants",2007,2011,0
465,"Terrestrial plants",2007,2012,0
466,"Fish",1986,2008,0
467,"Fish",1987,1999,0
468,"Benthos",1980,2011,0
469,"Benthos",1982,2011,0
471,"Terrestrial plants",2004,2013,0
473,"Terrestrial plants",1932,1945,0
475,"Birds",1960,1972,0.944954128440367
476,"Terrestrial invertebrates",1993,1997,0
477,"Marine invertebrates",1998,2012,0
478,"Freshwater invertebrates",1969,2005,0
479,"Terrestrial plants",1999,2008,0
480,"Terrestrial plants",1998,2008,0
481,"Terrestrial plants",2001,2008,0
482,"Terrestrial plants",1999,2009,0
483,"Terrestrial plants",1986,2009,0
484,"Terrestrial plants",1995,2008,0
485,"Terrestrial plants",1997,2005,0
486,"Terrestrial plants",1994,2009,0
487,"Terrestrial plants",1992,2009,0
488,"Terrestrial plants",1991,2005,0
489,"Terrestrial plants",2000,2008,0
490,"Terrestrial plants",2000,2003,0
491,"Terrestrial plants",1994,2008,0
492,"Terrestrial plants",1982,2006,0
493,"Terrestrial plants",2003,2008,0
494,"Terrestrial plants",1997,2008,0
495,"Terrestrial plants",1999,2008,0
496,"Terrestrial plants",2000,2008,0
497,"Terrestrial plants",1981,2009,0
498,"Terrestrial plants",2007,2010,0
499,"Marine invertebrates",1979,1999,0
500,"Marine invertebrates",2001,2012,0
501,"Marine invertebrates",2004,2012,0
502,"Terrestrial plants",1962,2009,0
503,"Marine invertebrates",2015,2016,0
504,"Fish",2003,2007,0
505,"All",1990,2012,0
507,"Fish",1976,2010,0
508,"Terrestrial plants",2003,2005,0
509,"Terrestrial plants",1989,2008,0
510,"Terrestrial invertebrates",1987,2015,0
511,"Fish",2005,2015,0
512,"Terrestrial plants",1964,1994,0
515,"Mammals",2003,2005,0.897160883280757
516,"Mammals",1997,2013,0.865217391304348
